modelo,variable,coef,IC95_coef_inf,IC95_coef_sup,OR,IC95_OR_inf,IC95_OR_sup,p_value
M2 Stepwise,Sunshine,-0.46080396962644543,-0.4979884398879008,-0.42361949936499005,0.6307763165961109,0.6077519605426739,0.6546729379914845,2.5863036538706287e-130
M2 Stepwise,Evaporation,-0.06090219412148014,-0.09580055170383706,-0.026003836539123228,0.9409152623196074,0.9086452257392157,0.9743313515412295,0.0006253066943310706
M2 Stepwise,Cloud3pm,0.28354295842097815,0.25037847096344057,0.31670744587851574,1.3278259203935519,1.284511474997954,1.3726009531147172,5.042425231381479e-63
M2 Stepwise,Cloud9am,-0.077035290977122,-0.10897100286224148,-0.045099579092002524,0.9258571786254236,0.8967564204906883,0.9559022892115784,2.269397833904521e-06
M2 Stepwise,Temp3pm,0.46432228143933146,0.43111639555469017,0.49752816732397276,1.5909356168478723,1.538974669342605,1.6446509402499168,2.2986178871228e-165
M2 Stepwise,WindSpeed3pm,-0.26638254220774277,-0.2925406467091564,-0.2402244377063291,0.766145988257726,0.746364907142013,0.7864513319243199,1.2418319536635388e-88
M2 Stepwise,Month_sin,-0.19032261523976463,-0.21226359101689807,-0.16838163946263118,0.8266923873546606,0.8087514898402888,0.8450312758559605,8.029634426489883e-65
M2 Stepwise,Month_cos,-0.19627589971791418,-0.2212139457936191,-0.17133785364220924,0.8217854730176943,0.8015451747258742,0.8425368712298428,1.0948774393252226e-53
M3 BIC,const,-1.8234676469003028,-1.8540143836007403,-1.7929209101998653,0.16146487586126276,0.15660722127823895,0.16647320553995182,0.0
M3 BIC,Humidity3pm,1.0747433514049483,1.042589571731516,1.1068971310783806,2.929241018461134,2.8365529691453237,3.024957770071391,0.0
M3 BIC,Sunshine,-0.4610224686994579,-0.4982153461982561,-0.4238295912006597,0.6306385076117723,0.6076140734320153,0.6545354109993335,2.2336781179410442e-130
M3 BIC,Cloud3pm,0.28335407485007275,0.25018216124225917,0.3165259884578863,1.3275751395771007,1.284259337657758,1.37235190708252,6.478773162326137e-63
M3 BIC,Rainfall_log1p,0.23317731916609247,0.1983294952931607,0.26802514303902425,1.2626053436055933,1.2193641023698505,1.3073800111083336,2.712132569684161e-39
M3 BIC,RainToday_bin,0.02186900269789378,-0.05965781549464472,0.10339582089043228,1.0221098820631962,0.9420868459573394,1.1089302599800324,0.5990641944865269
M3 BIC,Cloud9am,-0.07719985596357704,-0.10914281049382216,-0.04525690143333192,0.9257048274875391,0.8966023641283873,0.9557519162541804,2.170672760102581e-06
M3 BIC,Humidity9am,0.09498634125423175,0.061961748732303736,0.12801093377615977,1.0996438352679454,1.06392164759793,1.1365654295811218,1.7272876602375847e-08
M3 BIC,Pressure9am,-0.34758152560135946,-0.3702457713885716,-0.3249172798141473,0.7063944223519221,0.6905645887614825,0.7225871237111107,1.7040538495581165e-198
M3 BIC,WindGustSpeed,0.6940944439200669,0.664796183734959,0.7233927041051749,2.001895424311513,1.944094242926729,2.0614151317305316,0.0
M3 BIC,Temp3pm,0.4646190942024986,0.43139760364799357,0.4978405847570036,1.5914078969302408,1.5394075023302303,1.6451648381460522,2.0238942434506238e-165
M3 BIC,Evaporation,-0.060578850386552176,-0.0954880126153132,-0.02566968815779115,0.9412195505669746,0.9089292572730261,0.9746569771858393,0.0006709548725446477
M3 BIC,WindSpeed3pm,-0.26649297887762985,-0.2926526132461843,-0.2403333445090754,0.7660613823180205,0.7462813439262304,0.7863656866880037,1.0771908409401465e-88
M3 BIC,Month_cos,-0.1962895270993888,-0.22122687466189184,-0.17135217953688575,0.8217742743098679,0.8015348117208866,0.8425248012218215,1.0696774999956582e-53
M3 BIC,Month_sin,-0.1902329351378131,-0.2121767878553911,-0.16828908242023508,0.8267665285366858,0.8088216950734545,0.8451094930713072,9.561648742604913e-65
M4 Reducido,const,-1.7752743225014047,-1.8048884737504571,-1.7456601712523523,0.16943696275212863,0.1644928008193558,0.17452973141477485,0.0
M4 Reducido,Humidity3pm,0.922606418334142,0.8926535835804628,0.9525592530878213,2.5158391811516707,2.4416000524271637,2.5923356198841354,0.0
M4 Reducido,Sunshine,-0.45035096225382437,-0.4845488945721947,-0.41615302993545406,0.6374044074737502,0.6159750037670424,0.6595793273790319,6.729492488904107e-147
M4 Reducido,Cloud3pm,0.291168718884735,0.2586668373780362,0.3236706003914338,1.337990309140193,1.2952022199704905,1.382191938640946,5.132415898103747e-69
M4 Reducido,Rainfall_log1p,0.3002590065756126,0.2665793858207044,0.3339386273305208,1.3502084751644614,1.3054912227139117,1.3964574366238005,2.2854182408061255e-68
M4 Reducido,RainToday_bin,0.026087211677981906,-0.05280657391194708,0.1049809972679109,1.026430461292965,0.9485634716604238,1.1106895040200877,0.5169290216899703
M4 Reducido,Cloud9am,-0.09010792855770998,-0.12069772923915989,-0.05951812787626007,0.9138325513193615,0.8863018222334544,0.942218453016887,7.767054008695713e-09
M4 Reducido,Humidity9am,-0.08556254931498682,-0.11370716878516367,-0.057417929844809965,0.9179957212548052,0.8925192751229247,0.9441993777961428,2.5457471741756493e-09
M4 Reducido,Pressure9am,-0.5348803601643259,-0.5548127462167302,-0.5149479741119217,0.5857393637141376,0.5741797684644725,0.5975316809259392,0.0
