const,Humidity3pm,Humidity9am,Pressure9am,Rainfall_log1p,WindGustSpeed,Sunshine,Evaporation,Cloud3pm,Cloud9am,Temp3pm,WindSpeed3pm,Month_sin,Month_cos
-1.8381100098937657,1.0868037842757245,0.09975532140291801,-0.37303550549030173,0.2507430859469487,0.679271999067947,-0.4288260421225739,-0.018104234118100727,0.29253621834029325,-0.05522157034908873,0.4506323632453923,-0.2807522884814972,-0.18935410780795195,-0.23122060085030913
-1.812001950844054,1.07409686056875,0.11298414578800842,-0.33613671003890605,0.2511078569698704,0.6834335942537004,-0.4635497210140774,-0.055348069620434245,0.2656918387170419,-0.0668274658623998,0.4557355380347376,-0.26410384274280413,-0.1885612287619961,-0.19123307986254925
-1.8285732129060903,1.1089984946260236,0.09351766369904548,-0.3467240792351452,0.23095345655241736,0.7038296859427395,-0.47184390206790267,-0.0477014389940248,0.2611829397296896,-0.08238807546403204,0.45619186247258714,-0.26532942178972296,-0.18867865998335556,-0.19807694382046284
-1.8088943744720425,1.0563613674777736,0.11945638056376534,-0.33795190746132653,0.24650709600109988,0.7054392598059807,-0.44714481260368666,-0.08786339365828845,0.30665231705576934,-0.09226522050042006,0.48075550169623915,-0.2723641426082216,-0.2007794681098314,-0.1818238721191022
-1.803951305073126,1.042204220473949,0.1197360031368411,-0.3646577404810169,0.2486694808528003,0.6719964391402634,-0.4666479225266314,-0.05623833600794564,0.26682184115562746,-0.07619899608206866,0.45787195962979194,-0.24860042248571493,-0.18238040521241758,-0.1904004891801358
-1.8025060053272441,1.0650496278547041,0.08139622793252917,-0.32998611677910095,0.22850593573527767,0.6941773395442574,-0.44604030867953964,-0.0759553418519485,0.2697908018489245,-0.05136270602344101,0.4675496295647172,-0.255719324955394,-0.19627996992863708,-0.19302686468672378
-1.8210338049007144,1.0798578542550896,0.10105950397873577,-0.34915307234850723,0.2300188346131633,0.6966236490217049,-0.45888420596354335,-0.06938335195658,0.27980694858408645,-0.06510800265003357,0.46883281751000233,-0.268001378895513,-0.19515058280406167,-0.19941321868660103
-1.8121832272033809,1.0970023013112873,0.08943943684336375,-0.33692853395760936,0.23719544287420288,0.6798440151125766,-0.44501790381760137,-0.029448888950869938,0.28007062061167476,-0.07001574741017225,0.43660635825533683,-0.25303335797849524,-0.17881218962974355,-0.18853185685452295
-1.8181017153105887,1.074412113709475,0.09293333064611982,-0.35266356477400274,0.22397199149803157,0.7290135137660967,-0.4840640387637248,-0.08421867881059861,0.2864203973429393,-0.08785780511289319,0.49426044060392194,-0.2810642842722594,-0.18398617383229002,-0.1917333070971291
-1.8091866362404232,1.0772069702813085,0.07940939475305069,-0.3505886722215754,0.24734489688058925,0.7063319038931462,-0.43171227733258316,-0.07033554698398109,0.3108141048872039,-0.07637055510793081,0.4484024763571684,-0.2709383235534761,-0.17663619447760617,-0.19521531698183417
-1.8299756992974228,1.0731322740962197,0.0966797286209938,-0.3488959752878088,0.2414120829029286,0.6884191687730932,-0.46901384568416443,-0.055548919247831494,0.30983597819146447,-0.07450836459328797,0.4555136062842386,-0.24446508289027746,-0.17966587323686128,-0.2001182804010381
-1.8220829605808342,1.0611091721273573,0.12901695243684386,-0.3669431044801639,0.2496122069812683,0.6701277314985156,-0.47404130788813786,-0.052057320022637354,0.26956677190723877,-0.08331686170555813,0.46919905124213884,-0.2484497546709088,-0.19661899493869392,-0.19267634014967122
-1.8103204866085643,1.0724559617756513,0.10388148773456597,-0.34913578623356617,0.2506691622569633,0.6906927471711419,-0.44615803255947284,-0.06941324612418309,0.2934619526217272,-0.07686474793783592,0.4664840755444123,-0.24926956699952457,-0.19891419595377213,-0.18254769351588201
